seed,window,Set,Model,ROC_AUC,ROC_AUC_CI_low,ROC_AUC_CI_high,PR_AP,PR_AP_CI_low,PR_AP_CI_high,Brier,Brier_CI_low,Brier_CI_high,Cal_slope,Cal_intercept,n_test
1,12-30,Snapshot only,Logistic,0.8612988162407347,0.8512424496043739,0.872047700323242,0.7808390291897492,0.7629021175570235,0.7994533344836576,0.1396233807170092,0.13342833760787903,0.14514623228818366,0.1482914520822842,0.49513547345683856,3000
1,12-30,Snapshot+Change,Logistic,0.9904040515789603,0.9884371193247331,0.992274526072492,0.9839179015365528,0.9806271954972169,0.9869090989826276,0.033391286429456,0.02981933549409539,0.03699538899870395,0.06556983789836199,0.48852736763894034,3000
2,12-30,Snapshot only,Logistic,0.8793940526224685,0.8697326549755174,0.8887566504442738,0.8092083391173215,0.7919217745818825,0.8262184329196921,0.13031339852167526,0.12480680619506387,0.13552564167801043,0.14851925688787665,0.48366454606686893,3000
2,12-30,Snapshot+Change,Logistic,0.994267694264605,0.9928187036832776,0.9959340576909742,0.9909502886091425,0.9886748699816836,0.9931532369739782,0.02424781428697763,0.021054255567056306,0.027464873587586182,0.0664753455530149,0.4854467067896062,3000
3,12-30,Snapshot only,Logistic,0.8788539111614735,0.8700122881317509,0.8881673769777588,0.8678886085320936,0.8559237997744428,0.8799656421554521,0.14013747601661244,0.13462614346847382,0.1453785498700088,0.1547408661543966,0.5155130445219236,3000
3,12-30,Snapshot+Change,Logistic,0.9930127554455459,0.9915430986883087,0.9945205407572282,0.9924964656441541,0.9908261834609723,0.9940049728282536,0.02901051602567676,0.025901057872288736,0.032083869388643556,0.06888208582631221,0.4871469502859918,3000
1,3-18,Snapshot only,Logistic,0.8612988162407347,0.8512424496043739,0.872047700323242,0.7808390291897492,0.7629021175570235,0.7994533344836576,0.1396233807170092,0.13342833760787903,0.14514623228818366,0.1482914520822842,0.49513547345683856,3000
1,3-18,Snapshot+Change,Logistic,0.9359816105518065,0.9293490484309143,0.94251933276047,0.8770127310517685,0.8618196541919275,0.8919038025120617,0.0922689086063697,0.08690135714098965,0.09728089205937727,0.10622595011976174,0.49395808292895427,3000
2,3-18,Snapshot only,Logistic,0.8787665928207345,0.8689585033016648,0.8876885458936332,0.8380094248064692,0.823831199548923,0.8530983093261603,0.1370781466061868,0.1317671717437554,0.14274058167034537,0.1554282066618967,0.49064053644800715,3000
2,3-18,Snapshot+Change,Logistic,0.9543272838782646,0.9487275375713812,0.9594333340946075,0.9326810349719094,0.923128807126549,0.9422801530946369,0.07998998800975575,0.0754313510171247,0.08470966973751595,0.11315038271183121,0.4919577041940658,3000
3,3-18,Snapshot only,Logistic,0.8788539111614735,0.8700122881317509,0.8881673769777588,0.8678886085320936,0.8559237997744428,0.8799656421554521,0.14013747601661244,0.13462614346847382,0.1453785498700088,0.1547408661543966,0.5155130445219236,3000
3,3-18,Snapshot+Change,Logistic,0.9495714111245666,0.9437729839870532,0.9553768254883558,0.9420216097431708,0.9343624584133077,0.9505576576767882,0.08557481543943701,0.08069987762106817,0.09062143290413285,0.11188818148350235,0.5028200205848526,3000
1,6-24,Snapshot only,Logistic,0.8654412464896661,0.8561237531507013,0.8763532023268363,0.8425396999671907,0.8291170031472913,0.8575501516461154,0.14787357091808628,0.14158202962641944,0.1530283833618907,0.15955113184228095,0.5058675654975685,3000
1,6-24,Snapshot+Change,Logistic,0.9713989769499308,0.9673197760732358,0.9754308905248047,0.965986377249718,0.960618877821464,0.9722607066429583,0.06118537178404804,0.05639588152545011,0.06583889115589496,0.08649570419127683,0.4979953652926405,3000
2,6-24,Snapshot only,Logistic,0.8787665928207345,0.8689585033016648,0.8876885458936332,0.8380094248064692,0.823831199548923,0.8530983093261603,0.1370781466061868,0.1317671717437554,0.14274058167034537,0.1554282066618967,0.49064053644800715,3000
2,6-24,Snapshot+Change,Logistic,0.9801234829602475,0.9766237000231962,0.983716287062315,0.9727900094572091,0.9680774390034723,0.9779397833894625,0.04873263146652266,0.044668406140379424,0.05261701319784919,0.08875848456299082,0.49296952006064493,3000
3,6-24,Snapshot only,Logistic,0.8795346472325797,0.869728733819706,0.8892054996561972,0.8192591942078462,0.8020190925656886,0.8356842269536918,0.13024732946026854,0.12460186292080835,0.13597714651310894,0.14721538395016787,0.5040026377969908,3000
3,6-24,Snapshot+Change,Logistic,0.9750167062127743,0.9708611100880117,0.9788413170740499,0.9607857541563203,0.9541525531937163,0.9668644588942065,0.0541471122369546,0.04993284672226765,0.05835053444816843,0.08812277398890836,0.4950986777274671,3000
